file created! 
fitting BB model: 
{'epoch': 0, 'loss': 2.0978453159332275, 'acc': 0.18862412869930267}
{'epoch': 1, 'loss': 1.7487645149230957, 'acc': 0.45782461762428284}
{'epoch': 2, 'loss': 1.4092743396759033, 'acc': 0.5813968777656555}
{'epoch': 3, 'loss': 1.122759222984314, 'acc': 0.635191023349762}
{'epoch': 4, 'loss': 0.9543300271034241, 'acc': 0.6546868681907654}
{'epoch': 5, 'loss': 0.8417735695838928, 'acc': 0.6761520504951477}
{'epoch': 6, 'loss': 0.7513747215270996, 'acc': 0.6979125738143921}
{'epoch': 7, 'loss': 0.6950802803039551, 'acc': 0.7146186232566833}
{'epoch': 8, 'loss': 0.6280078887939453, 'acc': 0.727550208568573}
{'epoch': 9, 'loss': 0.5876837968826294, 'acc': 0.7408756613731384}
{'epoch': 10, 'loss': 0.5539947748184204, 'acc': 0.7467178702354431}
{'epoch': 11, 'loss': 0.5240122675895691, 'acc': 0.7576801776885986}
{'epoch': 12, 'loss': 0.49586692452430725, 'acc': 0.7705461382865906}
{'epoch': 13, 'loss': 0.4797021150588989, 'acc': 0.7774714231491089}
{'epoch': 14, 'loss': 0.4625880718231201, 'acc': 0.7785545587539673}
{'epoch': 15, 'loss': 0.4482564330101013, 'acc': 0.7890902161598206}
{'epoch': 16, 'loss': 0.4311819076538086, 'acc': 0.7935210466384888}
{'epoch': 17, 'loss': 0.42166560888290405, 'acc': 0.7976237535476685}
{'epoch': 18, 'loss': 0.4165361523628235, 'acc': 0.7988709211349487}
{'epoch': 19, 'loss': 0.3986898958683014, 'acc': 0.8057305812835693}
{'epoch': 20, 'loss': 0.39238241314888, 'acc': 0.8090783953666687}
{'epoch': 21, 'loss': 0.38128331303596497, 'acc': 0.8137718439102173}
{'epoch': 22, 'loss': 0.37831833958625793, 'acc': 0.8129841089248657}
{'epoch': 23, 'loss': 0.3611622750759125, 'acc': 0.8239792585372925}
{'epoch': 24, 'loss': 0.35012689232826233, 'acc': 0.8291321992874146}
{'epoch': 25, 'loss': 0.3517304062843323, 'acc': 0.832775354385376}
{'epoch': 26, 'loss': 0.33123403787612915, 'acc': 0.8400288820266724}
{'epoch': 27, 'loss': 0.330901175737381, 'acc': 0.8403899073600769}
{'epoch': 28, 'loss': 0.3169196546077728, 'acc': 0.8469541668891907}
{'epoch': 29, 'loss': 0.3165871798992157, 'acc': 0.8499081134796143}
{'epoch': 30, 'loss': 0.30718228220939636, 'acc': 0.8548641204833984}
{'epoch': 31, 'loss': 0.3000245690345764, 'acc': 0.8554877042770386}
{'epoch': 32, 'loss': 0.2996051013469696, 'acc': 0.8547656536102295}
{'epoch': 33, 'loss': 0.28999435901641846, 'acc': 0.8598201274871826}
{'epoch': 34, 'loss': 0.2808801829814911, 'acc': 0.8643166422843933}
{'epoch': 35, 'loss': 0.2787003815174103, 'acc': 0.8676644563674927}
{'epoch': 36, 'loss': 0.2738324701786041, 'acc': 0.8706511855125427}
{'epoch': 37, 'loss': 0.27007150650024414, 'acc': 0.8695680499076843}
{'epoch': 38, 'loss': 0.25988829135894775, 'acc': 0.873769223690033}
{'epoch': 39, 'loss': 0.259626179933548, 'acc': 0.8751148581504822}
{'epoch': 40, 'loss': 0.25101345777511597, 'acc': 0.8807272911071777}
{'epoch': 41, 'loss': 0.2467241734266281, 'acc': 0.8823683857917786}
{'epoch': 42, 'loss': 0.24446801841259003, 'acc': 0.8848956227302551}
{'epoch': 43, 'loss': 0.24504661560058594, 'acc': 0.8792503476142883}
{'epoch': 44, 'loss': 0.23818635940551758, 'acc': 0.8847315311431885}
{'epoch': 45, 'loss': 0.23515242338180542, 'acc': 0.8864054083824158}
{'epoch': 46, 'loss': 0.23076780140399933, 'acc': 0.8892936706542969}
{'epoch': 47, 'loss': 0.22273381054401398, 'acc': 0.892181932926178}
{'epoch': 48, 'loss': 0.22055387496948242, 'acc': 0.8936589360237122}
{'epoch': 49, 'loss': 0.21959882974624634, 'acc': 0.8934620022773743}
{'epoch': 50, 'loss': 0.21257662773132324, 'acc': 0.8962189555168152}
{'epoch': 51, 'loss': 0.2128814160823822, 'acc': 0.8974005579948425}
{'epoch': 52, 'loss': 0.20679350197315216, 'acc': 0.9022580981254578}
{'epoch': 53, 'loss': 0.20461252331733704, 'acc': 0.9015360474586487}
{'epoch': 54, 'loss': 0.2074776440858841, 'acc': 0.8988447189331055}
{'epoch': 55, 'loss': 0.19911226630210876, 'acc': 0.9033412337303162}
{'epoch': 56, 'loss': 0.19737748801708221, 'acc': 0.9035053253173828}
{'epoch': 57, 'loss': 0.19293193519115448, 'acc': 0.9050478935241699}
{'epoch': 58, 'loss': 0.19007819890975952, 'acc': 0.9082643985748291}
{'epoch': 59, 'loss': 0.1980055421590805, 'acc': 0.9024221897125244}
{'epoch': 60, 'loss': 0.18790005147457123, 'acc': 0.9073125720024109}
{'epoch': 61, 'loss': 0.17982396483421326, 'acc': 0.9110541939735413}
{'epoch': 62, 'loss': 0.181766077876091, 'acc': 0.911973237991333}
{'epoch': 63, 'loss': 0.18209749460220337, 'acc': 0.9098726511001587}
{'epoch': 64, 'loss': 0.17525850236415863, 'acc': 0.9133517146110535}
{'epoch': 65, 'loss': 0.17857806384563446, 'acc': 0.9112511277198792}
{'epoch': 66, 'loss': 0.17306137084960938, 'acc': 0.9131876230239868}
{'epoch': 67, 'loss': 0.16846874356269836, 'acc': 0.9165025353431702}
{'epoch': 68, 'loss': 0.16536501049995422, 'acc': 0.9164040684700012}
