file created! 
fitting BB model: 
{'epoch': 0, 'loss': 2.333697557449341, 'acc': 0.3000655472278595}
{'epoch': 1, 'loss': 1.7224369049072266, 'acc': 0.5114101767539978}
{'epoch': 2, 'loss': 1.3395651578903198, 'acc': 0.5688258409500122}
{'epoch': 3, 'loss': 1.1460449695587158, 'acc': 0.6081336736679077}
{'epoch': 4, 'loss': 0.9949939250946045, 'acc': 0.64531409740448}
{'epoch': 5, 'loss': 0.8909855484962463, 'acc': 0.6701876521110535}
{'epoch': 6, 'loss': 0.8066467642784119, 'acc': 0.6912268400192261}
{'epoch': 7, 'loss': 0.731320321559906, 'acc': 0.7114992141723633}
{'epoch': 8, 'loss': 0.6553120017051697, 'acc': 0.7328600287437439}
{'epoch': 9, 'loss': 0.6033623814582825, 'acc': 0.7470716834068298}
{'epoch': 10, 'loss': 0.550061821937561, 'acc': 0.763856053352356}
{'epoch': 11, 'loss': 0.509131133556366, 'acc': 0.7773503661155701}
{'epoch': 12, 'loss': 0.4765971302986145, 'acc': 0.7894346117973328}
{'epoch': 13, 'loss': 0.42397600412368774, 'acc': 0.8055634498596191}
{'epoch': 14, 'loss': 0.41194042563438416, 'acc': 0.8157181739807129}
{'epoch': 15, 'loss': 0.37339678406715393, 'acc': 0.8289279937744141}
{'epoch': 16, 'loss': 0.338564395904541, 'acc': 0.8405669927597046}
{'epoch': 17, 'loss': 0.34240806102752686, 'acc': 0.841494619846344}
{'epoch': 18, 'loss': 0.29802605509757996, 'acc': 0.8572152853012085}
{'epoch': 19, 'loss': 0.2792326509952545, 'acc': 0.8642036318778992}
{'epoch': 20, 'loss': 0.26157820224761963, 'acc': 0.872305154800415}
{'epoch': 21, 'loss': 0.2402333915233612, 'acc': 0.880282998085022}
{'epoch': 22, 'loss': 0.22471757233142853, 'acc': 0.8890895247459412}
{'epoch': 23, 'loss': 0.20159506797790527, 'acc': 0.8980197906494141}
{'epoch': 24, 'loss': 0.19358305633068085, 'acc': 0.9014211893081665}
{'epoch': 25, 'loss': 0.1779695451259613, 'acc': 0.9076302647590637}
{'epoch': 26, 'loss': 0.1692001223564148, 'acc': 0.9129364490509033}
{'epoch': 27, 'loss': 0.15789620578289032, 'acc': 0.9173768162727356}
{'epoch': 28, 'loss': 0.1564275175333023, 'acc': 0.9205308556556702}
{'epoch': 29, 'loss': 0.14606861770153046, 'acc': 0.9242167472839355}
{'epoch': 30, 'loss': 0.14230482280254364, 'acc': 0.9265668392181396}
{'epoch': 31, 'loss': 0.14334078133106232, 'acc': 0.9283108115196228}
{'epoch': 32, 'loss': 0.11628027260303497, 'acc': 0.9387252926826477}
{'epoch': 33, 'loss': 0.12477998435497284, 'acc': 0.9372534155845642}
{'epoch': 34, 'loss': 0.11047748476266861, 'acc': 0.9416071772575378}
{'epoch': 35, 'loss': 0.100887231528759, 'acc': 0.945602297782898}
{'epoch': 36, 'loss': 0.12903587520122528, 'acc': 0.9359546899795532}
{'epoch': 37, 'loss': 0.08536884188652039, 'acc': 0.9521082639694214}
{'epoch': 38, 'loss': 0.11961689591407776, 'acc': 0.9399621486663818}
{'epoch': 39, 'loss': 0.09897144883871078, 'acc': 0.9499931931495667}
{'epoch': 40, 'loss': 0.09822359681129456, 'acc': 0.9491521120071411}
{'epoch': 41, 'loss': 0.07719413191080093, 'acc': 0.9580205082893372}
{'epoch': 42, 'loss': 0.09493990987539291, 'acc': 0.9517990350723267}
{'epoch': 43, 'loss': 0.07747834920883179, 'acc': 0.9591708183288574}
{'epoch': 44, 'loss': 0.08315286040306091, 'acc': 0.9572412967681885}
{'epoch': 45, 'loss': 0.08879541605710983, 'acc': 0.9563012719154358}
{'epoch': 46, 'loss': 0.07768574357032776, 'acc': 0.9596531987190247}
{'epoch': 47, 'loss': 0.0693766325712204, 'acc': 0.9640316963195801}
{'epoch': 48, 'loss': 0.06946022063493729, 'acc': 0.9622753262519836}
{'epoch': 49, 'loss': 0.0695330873131752, 'acc': 0.9629927277565002}
{'epoch': 50, 'loss': 0.08012403547763824, 'acc': 0.9592944979667664}
{'epoch': 51, 'loss': 0.07409527897834778, 'acc': 0.963462769985199}
{'epoch': 52, 'loss': 0.06254842877388, 'acc': 0.966789960861206}
{'epoch': 53, 'loss': 0.06795421242713928, 'acc': 0.9651448726654053}
{'epoch': 54, 'loss': 0.06785865128040314, 'acc': 0.9641925096511841}
{'epoch': 55, 'loss': 0.06130719557404518, 'acc': 0.966084897518158}
{'epoch': 56, 'loss': 0.061589665710926056, 'acc': 0.9676557779312134}
{'epoch': 57, 'loss': 0.05936754494905472, 'acc': 0.9690781831741333}
{'epoch': 58, 'loss': 0.0591999813914299, 'acc': 0.9676557779312134}
{'epoch': 59, 'loss': 0.05902009829878807, 'acc': 0.9688431620597839}
{'epoch': 60, 'loss': 0.0635981634259224, 'acc': 0.9681999683380127}
{'epoch': 61, 'loss': 0.05391358584165573, 'acc': 0.9703397750854492}
{'epoch': 62, 'loss': 0.061666663736104965, 'acc': 0.9688678979873657}
{'epoch': 63, 'loss': 0.05538773909211159, 'acc': 0.9708963632583618}
{'epoch': 64, 'loss': 0.04919954761862755, 'acc': 0.9731351137161255}
{'epoch': 65, 'loss': 0.05667068809270859, 'acc': 0.9707479476928711}
{'epoch': 66, 'loss': 0.05057227239012718, 'acc': 0.9736298322677612}
{'epoch': 67, 'loss': 0.046969447284936905, 'acc': 0.9745080471038818}
{'epoch': 68, 'loss': 0.05033303052186966, 'acc': 0.9726650714874268}
{'epoch': 69, 'loss': 0.06081082299351692, 'acc': 0.9700800180435181}
