file created! 
fitting BB model: 
{'epoch': 0, 'loss': 2.3787825107574463, 'acc': 0.3371841311454773}
{'epoch': 1, 'loss': 1.8502575159072876, 'acc': 0.4718054533004761}
{'epoch': 2, 'loss': 1.5551815032958984, 'acc': 0.5050650238990784}
{'epoch': 3, 'loss': 1.417724609375, 'acc': 0.5264876484870911}
{'epoch': 4, 'loss': 1.3385357856750488, 'acc': 0.543964684009552}
{'epoch': 5, 'loss': 1.2807773351669312, 'acc': 0.5589432120323181}
{'epoch': 6, 'loss': 1.2396763563156128, 'acc': 0.5679476261138916}
{'epoch': 7, 'loss': 1.1948307752609253, 'acc': 0.5835198760032654}
{'epoch': 8, 'loss': 1.1531411409378052, 'acc': 0.5895063877105713}
{'epoch': 9, 'loss': 1.125588059425354, 'acc': 0.5975089073181152}
{'epoch': 10, 'loss': 1.0904396772384644, 'acc': 0.6062041521072388}
{'epoch': 11, 'loss': 1.0662026405334473, 'acc': 0.610582709312439}
{'epoch': 12, 'loss': 1.0387836694717407, 'acc': 0.6167670488357544}
{'epoch': 13, 'loss': 1.0178807973861694, 'acc': 0.6221351027488708}
{'epoch': 14, 'loss': 0.9965448975563049, 'acc': 0.6260930895805359}
{'epoch': 15, 'loss': 0.9771099090576172, 'acc': 0.6312384605407715}
{'epoch': 16, 'loss': 0.9594376683235168, 'acc': 0.6380412578582764}
{'epoch': 17, 'loss': 0.9412862062454224, 'acc': 0.6422219276428223}
{'epoch': 18, 'loss': 0.9239645600318909, 'acc': 0.6441267132759094}
{'epoch': 19, 'loss': 0.9088250994682312, 'acc': 0.6496431827545166}
{'epoch': 20, 'loss': 0.8936898112297058, 'acc': 0.655604898929596}
{'epoch': 21, 'loss': 0.882021963596344, 'acc': 0.6578312516212463}
{'epoch': 22, 'loss': 0.8653159737586975, 'acc': 0.659092903137207}
{'epoch': 23, 'loss': 0.8542842864990234, 'acc': 0.6631374359130859}
{'epoch': 24, 'loss': 0.8407494425773621, 'acc': 0.667256236076355}
{'epoch': 25, 'loss': 0.8342632055282593, 'acc': 0.6719068884849548}
{'epoch': 26, 'loss': 0.8197100162506104, 'acc': 0.6720800399780273}
{'epoch': 27, 'loss': 0.8123763203620911, 'acc': 0.67482590675354}
{'epoch': 28, 'loss': 0.802698016166687, 'acc': 0.6786726117134094}
{'epoch': 29, 'loss': 0.792893648147583, 'acc': 0.6796868443489075}
{'epoch': 30, 'loss': 0.7829267382621765, 'acc': 0.6820863485336304}
{'epoch': 31, 'loss': 0.77325040102005, 'acc': 0.6853145956993103}
{'epoch': 32, 'loss': 0.7632476091384888, 'acc': 0.6872193813323975}
{'epoch': 33, 'loss': 0.754951536655426, 'acc': 0.6896189451217651}
{'epoch': 34, 'loss': 0.7493663430213928, 'acc': 0.6917463541030884}
{'epoch': 35, 'loss': 0.7408504486083984, 'acc': 0.6951106190681458}
{'epoch': 36, 'loss': 0.7298173904418945, 'acc': 0.6958032846450806}
{'epoch': 37, 'loss': 0.7241501808166504, 'acc': 0.6968422532081604}
{'epoch': 38, 'loss': 0.7188740372657776, 'acc': 0.7004044651985168}
{'epoch': 39, 'loss': 0.7101567387580872, 'acc': 0.7025071382522583}
{'epoch': 40, 'loss': 0.6998580098152161, 'acc': 0.7059704065322876}
{'epoch': 41, 'loss': 0.7004323601722717, 'acc': 0.7059827446937561}
{'epoch': 42, 'loss': 0.6911280155181885, 'acc': 0.7085307240486145}
{'epoch': 43, 'loss': 0.6927541494369507, 'acc': 0.7085307240486145}
{'epoch': 44, 'loss': 0.6810221076011658, 'acc': 0.7125381827354431}
{'epoch': 45, 'loss': 0.671410858631134, 'acc': 0.7139111161231995}
{'epoch': 46, 'loss': 0.6672741770744324, 'acc': 0.7161622047424316}
{'epoch': 47, 'loss': 0.6587990522384644, 'acc': 0.7179680466651917}
{'epoch': 48, 'loss': 0.6598936319351196, 'acc': 0.7180793881416321}
{'epoch': 49, 'loss': 0.6499439477920532, 'acc': 0.7209984064102173}
finished fitting BB model: 
model saved to:/models/CNN/refit_42 
