file created! 
fitting BB model: 
{'epoch': 0, 'loss': 2.3834609985351562, 'acc': 0.29683730006217957}
{'epoch': 1, 'loss': 1.887798547744751, 'acc': 0.4759737253189087}
{'epoch': 2, 'loss': 1.5879358053207397, 'acc': 0.511224627494812}
{'epoch': 3, 'loss': 1.439858078956604, 'acc': 0.5377308130264282}
{'epoch': 4, 'loss': 1.3381574153900146, 'acc': 0.5615406632423401}
{'epoch': 5, 'loss': 1.2745124101638794, 'acc': 0.5716211795806885}
{'epoch': 6, 'loss': 1.2178090810775757, 'acc': 0.5876634120941162}
{'epoch': 7, 'loss': 1.1734611988067627, 'acc': 0.6010587811470032}
{'epoch': 8, 'loss': 1.1318165063858032, 'acc': 0.608146071434021}
{'epoch': 9, 'loss': 1.0916305780410767, 'acc': 0.616631031036377}
{'epoch': 10, 'loss': 1.059614658355713, 'acc': 0.6260064840316772}
{'epoch': 11, 'loss': 1.032117247581482, 'acc': 0.628913164138794}
{'epoch': 12, 'loss': 1.0068035125732422, 'acc': 0.635307788848877}
{'epoch': 13, 'loss': 0.9787430763244629, 'acc': 0.6425434947013855}
{'epoch': 14, 'loss': 0.9603195190429688, 'acc': 0.6479610204696655}
{'epoch': 15, 'loss': 0.936404287815094, 'acc': 0.6504595279693604}
{'epoch': 16, 'loss': 0.9154959917068481, 'acc': 0.6561490893363953}
{'epoch': 17, 'loss': 0.903007447719574, 'acc': 0.6606513261795044}
{'epoch': 18, 'loss': 0.8761663436889648, 'acc': 0.6659327745437622}
{'epoch': 19, 'loss': 0.860259473323822, 'acc': 0.670076310634613}
{'epoch': 20, 'loss': 0.8496235013008118, 'acc': 0.670867919921875}
{'epoch': 21, 'loss': 0.829318106174469, 'acc': 0.6784499287605286}
{'epoch': 22, 'loss': 0.8237928748130798, 'acc': 0.6792910099029541}
{'epoch': 23, 'loss': 0.8078737854957581, 'acc': 0.6821234822273254}
{'epoch': 24, 'loss': 0.7946490049362183, 'acc': 0.6877017617225647}
{'epoch': 25, 'loss': 0.7823822498321533, 'acc': 0.6874420046806335}
{'epoch': 26, 'loss': 0.772720456123352, 'acc': 0.6920431852340698}
{'epoch': 27, 'loss': 0.7583631873130798, 'acc': 0.6941335201263428}
{'epoch': 28, 'loss': 0.7540047764778137, 'acc': 0.6956919431686401}
{'epoch': 29, 'loss': 0.746608555316925, 'acc': 0.6976462006568909}
{'epoch': 30, 'loss': 0.7322365045547485, 'acc': 0.702309250831604}
{'epoch': 31, 'loss': 0.7240183353424072, 'acc': 0.7043253183364868}
{'epoch': 32, 'loss': 0.7132577300071716, 'acc': 0.7044861316680908}
{'epoch': 33, 'loss': 0.7076124548912048, 'acc': 0.7100396752357483}
{'epoch': 34, 'loss': 0.6983103156089783, 'acc': 0.7106952667236328}
{'epoch': 35, 'loss': 0.691769003868103, 'acc': 0.7140471935272217}
{'epoch': 36, 'loss': 0.6857940554618835, 'acc': 0.7137874364852905}
{'epoch': 37, 'loss': 0.6783745288848877, 'acc': 0.7152840495109558}
{'epoch': 38, 'loss': 0.6641331315040588, 'acc': 0.7186359763145447}
{'epoch': 39, 'loss': 0.6647360920906067, 'acc': 0.7196378707885742}
{'epoch': 40, 'loss': 0.6544103622436523, 'acc': 0.7223218679428101}
{'epoch': 41, 'loss': 0.6469507217407227, 'acc': 0.7242266535758972}
{'epoch': 42, 'loss': 0.6458094120025635, 'acc': 0.7236576676368713}
{'epoch': 43, 'loss': 0.6323751211166382, 'acc': 0.727825939655304}
{'epoch': 44, 'loss': 0.6366611123085022, 'acc': 0.7284567356109619}
{'epoch': 45, 'loss': 0.6186457276344299, 'acc': 0.7331445217132568}
{'epoch': 46, 'loss': 0.6216275095939636, 'acc': 0.731944739818573}
{'epoch': 47, 'loss': 0.6122057437896729, 'acc': 0.7347400784492493}
{'epoch': 48, 'loss': 0.6072234511375427, 'acc': 0.7353832721710205}
{'epoch': 49, 'loss': 0.6066543459892273, 'acc': 0.7367932796478271}
finished fitting BB model: 
model saved to:/models/CNN/refit_12 
