file created! 
fitting BB model: 
{'epoch': 0, 'loss': 1.471269130706787, 'acc': 0.34514617919921875}
{'epoch': 1, 'loss': 1.2332388162612915, 'acc': 0.44056811928749084}
{'epoch': 2, 'loss': 1.119248390197754, 'acc': 0.4878654181957245}
{'epoch': 3, 'loss': 0.9541488289833069, 'acc': 0.5774958729743958}
{'epoch': 4, 'loss': 0.934987485408783, 'acc': 0.5842525959014893}
{'epoch': 5, 'loss': 0.8953259587287903, 'acc': 0.6085217595100403}
{'epoch': 6, 'loss': 0.8355845808982849, 'acc': 0.6472697257995605}
{'epoch': 7, 'loss': 0.7379366755485535, 'acc': 0.6747104525566101}
{'epoch': 8, 'loss': 0.7052360773086548, 'acc': 0.6971870064735413}
{'epoch': 9, 'loss': 0.6393444538116455, 'acc': 0.7089079022407532}
{'epoch': 10, 'loss': 0.6124017834663391, 'acc': 0.7232487797737122}
{'epoch': 11, 'loss': 0.4992530643939972, 'acc': 0.764340877532959}
{'epoch': 12, 'loss': 0.45785510540008545, 'acc': 0.7891616225242615}
{'epoch': 13, 'loss': 0.4123883545398712, 'acc': 0.7986762523651123}
{'epoch': 14, 'loss': 0.3969767987728119, 'acc': 0.8047435283660889}
{'epoch': 15, 'loss': 0.3666550815105438, 'acc': 0.8182570338249207}
{'epoch': 16, 'loss': 0.3461447060108185, 'acc': 0.8361831307411194}
{'epoch': 17, 'loss': 0.3392198085784912, 'acc': 0.837837815284729}
{'epoch': 18, 'loss': 0.317766398191452, 'acc': 0.8561776280403137}
{'epoch': 19, 'loss': 0.2790456712245941, 'acc': 0.8674848079681396}
{'epoch': 20, 'loss': 0.3557206094264984, 'acc': 0.8319084644317627}
{'epoch': 21, 'loss': 0.26973792910575867, 'acc': 0.8716216087341309}
{'epoch': 22, 'loss': 0.2133093923330307, 'acc': 0.9004412293434143}
{'epoch': 23, 'loss': 0.2499663531780243, 'acc': 0.8895477056503296}
{'epoch': 24, 'loss': 0.2259882092475891, 'acc': 0.8952013254165649}
{'epoch': 25, 'loss': 0.17190134525299072, 'acc': 0.9200220704078674}
{'epoch': 26, 'loss': 0.1669650673866272, 'acc': 0.9236072897911072}
{'epoch': 27, 'loss': 0.279784619808197, 'acc': 0.8678985238075256}
{'epoch': 28, 'loss': 0.17842014133930206, 'acc': 0.9140926599502563}
{'epoch': 29, 'loss': 0.18163663148880005, 'acc': 0.9113348126411438}
{'epoch': 30, 'loss': 0.18764880299568176, 'acc': 0.9153336882591248}
{'epoch': 31, 'loss': 0.14174094796180725, 'acc': 0.9328461289405823}
{'epoch': 32, 'loss': 0.12833702564239502, 'acc': 0.9422228336334229}
{'epoch': 33, 'loss': 0.13148581981658936, 'acc': 0.9396028518676758}
{'epoch': 34, 'loss': 0.13166183233261108, 'acc': 0.9383618235588074}
{'epoch': 35, 'loss': 0.1586848348379135, 'acc': 0.9309155941009521}
{'epoch': 36, 'loss': 0.1659308522939682, 'acc': 0.9266409277915955}
{'epoch': 37, 'loss': 0.146280899643898, 'acc': 0.9357418417930603}
{'epoch': 38, 'loss': 0.10443119704723358, 'acc': 0.956977367401123}
{'epoch': 39, 'loss': 0.10102284699678421, 'acc': 0.9543574452400208}
{'epoch': 40, 'loss': 0.17271679639816284, 'acc': 0.9274682998657227}
{'epoch': 41, 'loss': 0.1685846894979477, 'acc': 0.9249861836433411}
{'epoch': 42, 'loss': 0.11798213422298431, 'acc': 0.9491174817085266}
{'epoch': 43, 'loss': 0.0869542807340622, 'acc': 0.9637341499328613}
{'epoch': 44, 'loss': 0.10019641369581223, 'acc': 0.9542195200920105}
{'epoch': 45, 'loss': 0.08321939408779144, 'acc': 0.9624931216239929}
{'epoch': 46, 'loss': 0.0965302437543869, 'acc': 0.9600110054016113}
{'epoch': 47, 'loss': 0.09595464169979095, 'acc': 0.9587699770927429}
{'epoch': 48, 'loss': 0.15350301563739777, 'acc': 0.9384997487068176}
{'epoch': 49, 'loss': 0.10254348069429398, 'acc': 0.9571152925491333}
{'epoch': 50, 'loss': 0.07492595165967941, 'acc': 0.964699387550354}
{'epoch': 51, 'loss': 0.06652127951383591, 'acc': 0.9720077514648438}
{'epoch': 52, 'loss': 0.0772484689950943, 'acc': 0.9662162065505981}
{'epoch': 53, 'loss': 0.07987120002508163, 'acc': 0.9652509689331055}
{'epoch': 54, 'loss': 0.07484442740678787, 'acc': 0.965388834476471}
{'epoch': 55, 'loss': 0.06150977313518524, 'acc': 0.9736624360084534}
{'epoch': 56, 'loss': 0.07277648895978928, 'acc': 0.968698263168335}
{'epoch': 57, 'loss': 0.08668968081474304, 'acc': 0.9604247212409973}
{'epoch': 58, 'loss': 0.06198233366012573, 'acc': 0.9753171801567078}
{'epoch': 59, 'loss': 0.059800226241350174, 'acc': 0.9731108546257019}
{'epoch': 60, 'loss': 0.07377240806818008, 'acc': 0.968008816242218}
{'epoch': 61, 'loss': 0.11347144097089767, 'acc': 0.954081654548645}
{'epoch': 62, 'loss': 0.06206633895635605, 'acc': 0.9738003015518188}
{'epoch': 63, 'loss': 0.05212821438908577, 'acc': 0.9766960740089417}
{'epoch': 64, 'loss': 0.15289200842380524, 'acc': 0.9531163573265076}
{'epoch': 65, 'loss': 0.07736369222402573, 'acc': 0.9702151417732239}
{'epoch': 66, 'loss': 0.049841202795505524, 'acc': 0.9762824177742004}
{'epoch': 67, 'loss': 0.05171370506286621, 'acc': 0.9769718647003174}
{'epoch': 68, 'loss': 0.07315083593130112, 'acc': 0.968422532081604}
{'epoch': 69, 'loss': 0.04894785210490227, 'acc': 0.9798676371574402}
