file created! 
starting refit training on model ukdale seed 42
{'epoch': 0, 'loss': 1.1253962516784668, 'acc': 0.5977079272270203}
{'epoch': 1, 'loss': 0.906542181968689, 'acc': 0.6551609635353088}
{'epoch': 2, 'loss': 0.8445612788200378, 'acc': 0.6739782094955444}
{'epoch': 3, 'loss': 0.8234416246414185, 'acc': 0.6832098364830017}
{'epoch': 4, 'loss': 0.8052008152008057, 'acc': 0.6864100694656372}
{'epoch': 5, 'loss': 0.7795941829681396, 'acc': 0.6960408091545105}
{'epoch': 6, 'loss': 0.770439863204956, 'acc': 0.6999036073684692}
{'epoch': 7, 'loss': 0.7730002999305725, 'acc': 0.6993840336799622}
{'epoch': 8, 'loss': 0.7676980495452881, 'acc': 0.701816201210022}
{'epoch': 9, 'loss': 0.764508843421936, 'acc': 0.7021927237510681}
{'epoch': 10, 'loss': 0.756881594657898, 'acc': 0.7038492560386658}
{'epoch': 11, 'loss': 0.7546245455741882, 'acc': 0.7031188607215881}
{'epoch': 12, 'loss': 0.7437242865562439, 'acc': 0.7073883414268494}
{'epoch': 13, 'loss': 0.7484390735626221, 'acc': 0.7048357129096985}
{'epoch': 14, 'loss': 0.7391804456710815, 'acc': 0.7065901756286621}
{'epoch': 15, 'loss': 0.738132119178772, 'acc': 0.7149935364723206}
{'epoch': 16, 'loss': 0.7273492217063904, 'acc': 0.7115072011947632}
{'epoch': 17, 'loss': 0.7357035875320435, 'acc': 0.711891233921051}
{'epoch': 18, 'loss': 0.7228485345840454, 'acc': 0.7156486511230469}
{'epoch': 19, 'loss': 0.7241432070732117, 'acc': 0.7162585258483887}
{'epoch': 20, 'loss': 0.7196603417396545, 'acc': 0.7146170139312744}
{'epoch': 21, 'loss': 0.7259082198143005, 'acc': 0.7142179608345032}
{'epoch': 22, 'loss': 0.7056543231010437, 'acc': 0.7165296077728271}
{'epoch': 23, 'loss': 0.7327958941459656, 'acc': 0.7148805856704712}
{'epoch': 24, 'loss': 0.7190427780151367, 'acc': 0.7192403674125671}
{'epoch': 25, 'loss': 0.7230229377746582, 'acc': 0.7164618372917175}
{'epoch': 26, 'loss': 0.7085593938827515, 'acc': 0.7207764983177185}
{'epoch': 27, 'loss': 0.7067095637321472, 'acc': 0.7200686931610107}
{'epoch': 28, 'loss': 0.7111913561820984, 'acc': 0.7188413143157959}
{'epoch': 29, 'loss': 0.7148545980453491, 'acc': 0.7179979681968689}
{'epoch': 30, 'loss': 0.7195535898208618, 'acc': 0.7179678082466125}
{'epoch': 31, 'loss': 0.7094915509223938, 'acc': 0.7212207317352295}
{'epoch': 32, 'loss': 0.6987338662147522, 'acc': 0.7199331521987915}
{'epoch': 33, 'loss': 0.7103695273399353, 'acc': 0.7171696424484253}
{'epoch': 34, 'loss': 0.7065100073814392, 'acc': 0.719541609287262}
{'epoch': 35, 'loss': 0.7039920687675476, 'acc': 0.7195566296577454}
{'epoch': 36, 'loss': 0.7031896710395813, 'acc': 0.7199180722236633}
{'epoch': 37, 'loss': 0.7117316722869873, 'acc': 0.7195190191268921}
{'epoch': 38, 'loss': 0.7132501602172852, 'acc': 0.718999445438385}
{'epoch': 39, 'loss': 0.7048922777175903, 'acc': 0.7173353433609009}
{'epoch': 40, 'loss': 0.7109832763671875, 'acc': 0.7210400104522705}
{'epoch': 41, 'loss': 0.6893822550773621, 'acc': 0.723035454750061}
{'epoch': 42, 'loss': 0.703399121761322, 'acc': 0.7225233912467957}
{'epoch': 43, 'loss': 0.6886084079742432, 'acc': 0.7243757843971252}
{'epoch': 44, 'loss': 0.7008705735206604, 'acc': 0.7232387661933899}
{'epoch': 45, 'loss': 0.7027647495269775, 'acc': 0.7210550904273987}
{'epoch': 46, 'loss': 0.7033267021179199, 'acc': 0.7209722399711609}
{'epoch': 47, 'loss': 0.7031875252723694, 'acc': 0.7250083088874817}
{'epoch': 48, 'loss': 0.7000488042831421, 'acc': 0.7254224419593811}
{'epoch': 49, 'loss': 0.7007108926773071, 'acc': 0.7256784439086914}
finished refit training on model ukdale seed 42
